colorspace,histbin,n_predict,nfeatures,predict_secs,spatial,test_accy,train_secs
YCrCb,36,10,540,0.00266,12,0.9741,4.81
HSV,40,10,552,0.00273,12,0.9738,4.18
HSV,36,10,300,0.00243,8,0.9727,4.37
YUV,28,10,276,0.00258,8,0.9727,3.9
YUV,36,10,540,0.00403,12,0.9727,4.95
YCrCb,32,10,288,0.00204,8,0.9724,3.36
YUV,32,10,288,0.00261,8,0.9724,3.55
YUV,40,10,552,0.00263,12,0.9724,5.06
YUV,40,10,312,0.00195,8,0.9721,3.41
LUV,40,10,552,0.00263,12,0.9721,5.29
LUV,32,10,288,0.00221,8,0.9707,4.28
YCrCb,36,10,300,0.00261,8,0.9704,4.12
LUV,32,10,528,0.00263,12,0.9704,6.26
YCrCb,24,10,504,0.0026,12,0.9702,6.57
YCrCb,20,10,252,0.00254,8,0.9699,3.15
YCrCb,32,10,528,0.00257,12,0.9696,5.5
YCrCb,40,10,312,0.00264,8,0.9696,3.29
LUV,40,10,312,0.00284,8,0.9693,4.19
LUV,28,10,276,0.00207,8,0.969,4.36
YUV,36,10,300,0.00417,8,0.969,3.79
YCrCb,24,10,264,0.00232,8,0.9688,3.32
YCrCb,28,10,516,0.00268,12,0.9688,5.52
HSV,32,10,528,0.00272,12,0.9688,5.2
HLS,32,10,288,0.00235,8,0.9685,5.21
LUV,28,10,516,0.00263,12,0.9682,5.72
YCrCb,20,10,492,0.00255,12,0.9679,5.45
YUV,20,10,492,0.00263,12,0.9679,6.15
HSV,28,10,516,0.0027,12,0.9676,5.43
HSV,24,10,264,0.00263,8,0.9673,4.36
YUV,28,10,516,0.00409,12,0.9673,5.32
LUV,36,10,540,0.00291,12,0.9668,5.36
LUV,36,10,300,0.00217,8,0.9665,4.0
YUV,24,10,264,0.00234,8,0.9665,3.37
YCrCb,40,10,552,0.00241,12,0.9665,4.9
YUV,32,10,528,0.00261,12,0.9662,4.51
HLS,36,10,300,0.00267,8,0.9662,4.81
LUV,20,10,492,0.00215,12,0.9659,6.36
HSV,28,10,276,0.00271,8,0.9657,3.88
LUV,24,10,264,0.00205,8,0.9654,4.39
RGB,36,10,300,0.0026,8,0.9654,5.75
HSV,24,10,504,0.00269,12,0.9654,5.21
RGB,40,10,312,0.00271,8,0.9654,5.82
HSV,32,10,288,0.00271,8,0.9651,3.81
LUV,24,10,504,0.00201,12,0.9648,6.24
HSV,20,10,492,0.00208,12,0.9648,6.99
YCrCb,32,10,864,0.00264,16,0.9648,6.15
RGB,40,10,552,0.00262,12,0.9645,6.52
LUV,20,10,252,0.00281,8,0.9645,4.29
RGB,24,10,840,0.00266,16,0.9642,10.6
YCrCb,36,10,876,0.0016,16,0.964,5.55
YUV,20,10,252,0.00437,8,0.964,3.42
RGB,40,10,888,0.00264,16,0.9637,8.12
RGB,32,10,528,0.00261,12,0.9634,6.89
YUV,24,10,504,0.0028,12,0.9634,6.27
HSV,36,10,540,0.00263,12,0.9631,4.1
YCrCb,40,10,888,0.00419,16,0.9628,4.98
HLS,40,10,552,0.00253,12,0.9626,5.24
HLS,24,10,504,0.00258,12,0.9626,7.8
RGB,36,10,1308,0.00258,20,0.9626,11.88
RGB,36,10,540,0.00262,12,0.9623,6.55
RGB,32,10,288,0.00268,8,0.962,5.29
LUV,24,10,840,0.0027,16,0.962,8.11
HSV,40,10,312,0.00266,8,0.9617,4.89
HLS,32,10,528,0.00257,12,0.9614,5.88
YCrCb,28,10,276,0.00259,8,0.9614,3.2
HLS,28,10,516,0.00261,12,0.9611,7.39
RGB,28,10,516,0.00268,12,0.9611,7.77
HLS,40,10,312,0.00242,8,0.9609,4.49
YUV,32,10,864,0.00256,16,0.9606,5.3
YUV,40,10,888,0.00263,16,0.9606,5.53
HLS,24,10,264,0.00254,8,0.9603,4.86
RGB,28,10,852,0.00285,16,0.96,9.92
YCrCb,28,10,852,0.00297,16,0.96,7.06
LUV,36,10,876,0.00255,16,0.9597,5.66
LUV,32,10,864,0.00258,16,0.9595,6.58
RGB,32,10,864,0.00261,16,0.9595,9.56
RGB,20,10,828,0.0026,16,0.9592,11.32
RGB,32,10,1296,0.0026,20,0.9592,12.08
RGB,40,10,3192,0.00217,32,0.9589,25.48
RGB,24,10,264,0.00258,8,0.9589,5.53
YUV,28,10,852,0.0026,16,0.9589,6.3
HLS,28,10,276,0.00261,8,0.9589,4.56
RGB,36,10,876,0.00261,16,0.9589,8.86
HSV,20,10,252,0.00263,8,0.9589,4.58
RGB,28,10,276,0.00271,8,0.9589,5.32
RGB,24,10,1272,0.00288,20,0.9583,13.14
HSV,36,10,3180,0.00264,32,0.9581,19.39
LUV,36,10,1308,0.00475,20,0.9575,8.52
YUV,24,10,840,0.00256,16,0.9572,6.61
RGB,24,10,504,0.00265,12,0.9572,6.82
YUV,36,10,3180,0.00256,32,0.9569,21.16
HSV,36,10,1308,0.00281,20,0.9569,5.79
RGB,20,10,492,0.00255,12,0.9566,7.68
YUV,40,10,2472,0.00236,28,0.9564,14.8
RGB,36,10,1836,0.00242,24,0.9564,16.01
YUV,20,10,828,0.00257,16,0.9564,7.92
RGB,32,10,3168,0.00244,32,0.9561,25.44
RGB,40,10,1848,0.00252,24,0.9561,14.9
HLS,20,10,252,0.00258,8,0.9561,5.02
RGB,28,10,1284,0.0026,20,0.9561,12.38
HSV,24,10,840,0.00261,16,0.9561,4.61
LUV,40,10,888,0.00262,16,0.9561,5.79
YUV,36,10,876,0.00263,16,0.9561,5.28
HSV,40,10,888,0.00269,16,0.9561,4.66
YUV,32,10,2448,0.00243,28,0.9558,15.89
HSV,28,10,852,0.00273,16,0.9558,4.49
YUV,32,10,1296,0.00291,20,0.9558,7.11
HLS,36,10,540,0.0026,12,0.9555,5.29
YUV,40,10,1320,0.00261,20,0.9555,6.48
YUV,32,10,3168,0.00271,32,0.9552,20.27
YCrCb,24,10,840,0.00276,16,0.9552,7.33
YUV,36,10,1308,0.00287,20,0.9552,6.93
YCrCb,36,10,1308,0.00204,20,0.955,7.16
HSV,36,10,1836,0.00238,24,0.955,9.5
YUV,40,10,1848,0.00231,24,0.9547,10.24
RGB,40,10,1320,0.00255,20,0.9547,11.21
YUV,36,10,2460,0.00273,28,0.9547,16.2
YCrCb,40,10,1848,0.00274,24,0.9547,10.79
YCrCb,20,10,828,0.0028,16,0.9547,7.19
RGB,28,10,1812,0.00233,24,0.9544,17.03
YUV,36,10,1836,0.00248,24,0.9541,10.37
LUV,40,10,3192,0.0029,32,0.9541,20.88
YCrCb,32,10,1296,0.00222,20,0.9538,7.71
HLS,28,10,852,0.00259,16,0.9538,6.7
YCrCb,28,10,1812,0.00279,24,0.9535,11.69
LUV,36,10,1836,0.00297,24,0.9535,12.36
YCrCb,28,10,1284,0.00262,20,0.9533,8.66
HSV,32,10,1824,0.00257,24,0.953,9.28
HSV,32,10,864,0.00266,16,0.953,4.48
LUV,40,10,2472,0.00312,28,0.953,15.97
YUV,32,10,1824,0.00273,24,0.9527,10.78
RGB,32,10,1824,0.00238,24,0.9524,16.01
HSV,36,10,876,0.00276,16,0.9524,4.04
HSV,32,10,3168,0.00284,32,0.9524,19.18
LUV,20,10,828,0.00265,16,0.9521,8.71
LUV,40,10,1848,0.00281,24,0.9521,11.28
RGB,28,10,3156,0.00319,32,0.9521,27.42
HSV,24,10,1800,0.00249,24,0.9519,9.71
YCrCb,36,10,3180,0.00261,32,0.9519,21.06
HSV,24,10,3144,0.00294,32,0.9519,19.21
YCrCb,40,10,2472,0.00305,28,0.9519,15.67
HLS,40,10,3192,0.00518,32,0.9519,20.04
