colorspace,histbin,n_predict,nfeatures,predict_secs,spatial,test_accy,train_secs
RGB,32,10,528,0.00214,12,0.9957,0.22
HSV,40,10,312,0.00234,8,0.9957,0.04
HSV,32,10,864,0.00243,16,0.9957,0.16
HLS,40,10,312,0.00247,8,0.9957,0.06
RGB,36,10,1308,0.00249,20,0.9957,0.69
HSV,36,10,540,0.00255,12,0.9957,0.12
LUV,40,10,552,0.00176,12,0.9935,0.14
YCrCb,40,10,888,0.00178,16,0.9935,0.15
RGB,36,10,876,0.00188,16,0.9935,0.33
RGB,28,10,516,0.00193,12,0.9935,0.21
RGB,32,10,864,0.00197,16,0.9935,0.34
RGB,24,10,264,0.00199,8,0.9935,0.1
YCrCb,40,10,312,0.00232,8,0.9935,0.05
HSV,32,10,288,0.00239,8,0.9935,0.05
HLS,36,10,300,0.00243,8,0.9935,0.07
LUV,40,10,1320,0.00244,20,0.9935,0.32
HSV,28,10,276,0.00246,8,0.9935,0.05
RGB,28,10,1812,0.00256,24,0.9935,1.16
LUV,28,10,516,0.00179,12,0.9914,0.24
RGB,40,10,888,0.0019,16,0.9914,0.27
HLS,28,10,276,0.00197,8,0.9914,0.11
RGB,20,10,252,0.00216,8,0.9914,0.1
YUV,32,10,288,0.00226,8,0.9914,0.08
YCrCb,40,10,552,0.00242,12,0.9914,0.15
YCrCb,36,10,1836,0.00242,24,0.9914,0.83
HLS,40,10,552,0.00243,12,0.9914,0.09
HSV,28,10,1284,0.00244,20,0.9914,0.24
HSV,36,10,300,0.00246,8,0.9914,0.06
YCrCb,32,10,528,0.00246,12,0.9914,0.16
YUV,36,10,540,0.00246,12,0.9914,0.21
LUV,40,10,2472,0.0025,28,0.9914,0.63
LUV,32,10,528,0.00179,12,0.9892,0.25
RGB,40,10,2472,0.00195,28,0.9892,1.66
RGB,40,10,1320,0.00196,20,0.9892,0.62
RGB,40,10,312,0.0021,8,0.9892,0.12
HSV,32,10,528,0.00231,12,0.9892,0.09
YUV,40,10,312,0.00232,8,0.9892,0.1
YCrCb,28,10,516,0.00238,12,0.9892,0.24
YUV,32,10,528,0.0024,12,0.9892,0.14
HLS,36,10,540,0.00241,12,0.9892,0.12
YUV,20,10,492,0.00245,12,0.9892,0.18
HLS,32,10,528,0.00248,12,0.9892,0.09
YUV,40,10,552,0.00248,12,0.9892,0.16
LUV,36,10,1308,0.0025,20,0.9892,0.45
RGB,32,10,1824,0.0025,24,0.9892,1.06
HSV,36,10,2460,0.00251,28,0.9892,0.67
RGB,28,10,3156,0.00251,32,0.9892,2.32
LUV,24,10,840,0.00179,16,0.9871,0.45
HSV,40,10,888,0.00187,16,0.9871,0.21
RGB,36,10,300,0.00195,8,0.9871,0.11
RGB,40,10,552,0.002,12,0.9871,0.22
LUV,32,10,864,0.00234,16,0.9871,0.34
YCrCb,36,10,540,0.00237,12,0.9871,0.13
YUV,28,10,516,0.00238,12,0.9871,0.17
RGB,36,10,1836,0.00238,24,0.9871,1.13
HSV,24,10,504,0.00242,12,0.9871,0.13
YCrCb,32,10,864,0.00242,16,0.9871,0.27
HSV,28,10,516,0.00243,12,0.9871,0.08
LUV,24,10,504,0.00243,12,0.9871,0.26
HSV,24,10,3144,0.00244,32,0.9871,1.31
RGB,40,10,1848,0.00246,24,0.9871,1.2
HSV,32,10,1296,0.00247,20,0.9871,0.28
RGB,28,10,1284,0.00247,20,0.9871,0.65
HLS,36,10,1308,0.00248,20,0.9871,0.37
YUV,36,10,300,0.00251,8,0.9871,0.1
HSV,40,10,1848,0.00252,24,0.9871,0.52
HSV,28,10,2436,0.00255,28,0.9871,0.61
YCrCb,40,10,2472,0.00255,28,0.9871,1.2
YUV,40,10,3192,0.00262,32,0.9871,2.48
YCrCb,24,10,504,0.00292,12,0.9871,0.24
LUV,36,10,300,0.00175,8,0.9849,0.08
LUV,32,10,288,0.00184,8,0.9849,0.08
YCrCb,28,10,276,0.00184,8,0.9849,0.1
RGB,28,10,852,0.0019,16,0.9849,0.4
HLS,40,10,888,0.00199,16,0.9849,0.14
YCrCb,24,10,264,0.00215,8,0.9849,0.1
YUV,36,10,876,0.00244,16,0.9849,0.26
YCrCb,32,10,288,0.00245,8,0.9849,0.09
HSV,36,10,1308,0.00245,20,0.9849,0.24
HSV,20,10,492,0.00247,12,0.9849,0.08
HSV,36,10,876,0.00247,16,0.9849,0.15
RGB,24,10,1272,0.00248,20,0.9849,0.71
RGB,36,10,3180,0.00249,32,0.9849,2.08
YCrCb,40,10,1320,0.00251,20,0.9849,0.61
YCrCb,24,10,840,0.00252,16,0.9849,0.21
HLS,24,10,2424,0.00252,28,0.9849,0.59
HLS,40,10,2472,0.00252,28,0.9849,0.63
LUV,20,10,252,0.00192,8,0.9828,0.1
HSV,40,10,1320,0.00193,20,0.9828,0.22
RGB,36,10,2460,0.00197,28,0.9828,1.58
LUV,40,10,3192,0.00199,32,0.9828,1.38
HSV,40,10,552,0.002,12,0.9828,0.07
RGB,20,10,1260,0.00235,20,0.9828,0.72
HSV,20,10,252,0.00238,8,0.9828,0.06
YCrCb,28,10,852,0.00239,16,0.9828,0.38
LUV,40,10,312,0.00243,8,0.9828,0.07
LUV,32,10,3168,0.00243,32,0.9828,2.26
HLS,32,10,288,0.00244,8,0.9828,0.08
HSV,28,10,852,0.00244,16,0.9828,0.18
YUV,24,10,504,0.00245,12,0.9828,0.23
YCrCb,20,10,492,0.00245,12,0.9828,0.24
HLS,28,10,1812,0.00245,24,0.9828,0.48
HSV,32,10,3168,0.00245,32,0.9828,0.89
YUV,24,10,840,0.0025,16,0.9828,0.44
HLS,36,10,3180,0.0025,32,0.9828,0.78
HSV,40,10,2472,0.00251,28,0.9828,0.56
YCrCb,32,10,2448,0.00252,28,0.9828,1.21
RGB,32,10,3168,0.00252,32,0.9828,2.19
YUV,24,10,1272,0.00256,20,0.9828,0.57
RGB,40,10,3192,0.00256,32,0.9828,2.19
LUV,36,10,876,0.0018,16,0.9806,0.35
RGB,36,10,540,0.00182,12,0.9806,0.24
RGB,32,10,2448,0.00193,28,0.9806,1.66
YUV,36,10,1308,0.00215,20,0.9806,0.56
YCrCb,36,10,876,0.00241,16,0.9806,0.18
HLS,24,10,264,0.00245,8,0.9806,0.09
YUV,24,10,264,0.00249,8,0.9806,0.1
HSV,36,10,1836,0.00249,24,0.9806,0.59
YUV,28,10,276,0.0025,8,0.9806,0.09
HLS,36,10,1836,0.0025,24,0.9806,0.43
HSV,20,10,2412,0.00253,28,0.9806,0.7
HLS,32,10,2448,0.00254,28,0.9806,0.76
HLS,28,10,852,0.00255,16,0.9806,0.23
HLS,28,10,2436,0.00255,28,0.9806,0.84
YUV,20,10,3132,0.00255,32,0.9806,2.66
LUV,40,10,888,0.00178,16,0.9785,0.22
RGB,20,10,1788,0.0018,24,0.9785,1.25
LUV,28,10,276,0.00188,8,0.9785,0.1
YUV,28,10,1284,0.00196,20,0.9785,0.71
HSV,24,10,264,0.0023,8,0.9785,0.06
LUV,24,10,264,0.00236,8,0.9785,0.1
HLS,28,10,1284,0.00236,20,0.9785,0.27
HSV,24,10,840,0.00241,16,0.9785,0.15
HSV,40,10,3192,0.00242,32,0.9785,0.9
YCrCb,36,10,300,0.00244,8,0.9785,0.06
HLS,32,10,864,0.00245,16,0.9785,0.18
HSV,28,10,1812,0.00245,24,0.9785,0.45
LUV,32,10,1824,0.00246,24,0.9785,0.93
LUV,36,10,3180,0.00246,32,0.9785,1.67
LUV,32,10,1296,0.00247,20,0.9785,0.41
YCrCb,36,10,2460,0.00247,28,0.9785,0.91
YCrCb,36,10,1308,0.00248,20,0.9785,0.48
HLS,20,10,492,0.0025,12,0.9785,0.1
LUV,40,10,1848,0.0025,24,0.9785,0.63
