cell_per_block,colorspace,hog_channel,n_predict,nfeatures,orient,pix_per_cell,predict_secs,test_accy,train_secs
4,LUV,ALL,10,720,15,16,0.00353,1.0,0.03
1,HSV,ALL,10,1152,6,8,0.0035,1.0,0.05
3,YUV,ALL,10,1620,15,16,0.00299,1.0,0.07
3,LUV,ALL,10,1620,15,16,0.00552,1.0,0.08
4,LUV,ALL,10,2880,15,12,0.00369,1.0,0.15
2,YCrCb,ALL,10,3528,6,8,0.00428,1.0,0.16
3,LUV,ALL,10,3645,15,12,0.00335,1.0,0.18
2,HSV,ALL,10,7056,12,8,0.00341,1.0,0.35
4,YCrCb,ALL,10,7200,6,8,0.00411,1.0,0.42
1,HSV,ALL,10,9216,12,4,0.00486,1.0,0.47
1,HLS,ALL,10,9216,12,4,0.00331,1.0,0.48
3,YUV,ALL,10,8748,9,8,0.00361,1.0,0.5
3,HSV,ALL,10,11664,12,8,0.00414,1.0,0.74
3,LUV,ALL,10,14580,15,8,0.00365,1.0,0.8
2,LUV,ALL,10,16200,6,4,0.0036,1.0,0.87
4,YUV,ALL,10,18000,15,8,0.00445,1.0,0.91
2,HSV,ALL,10,24300,9,4,0.00452,1.0,1.39
3,LUV,ALL,10,31752,6,4,0.0054,1.0,1.73
3,HLS,ALL,10,63504,12,4,0.00613,1.0,4.33
4,HSV,ALL,10,97344,12,4,0.00877,1.0,9.95
4,YCrCb,ALL,10,121680,15,4,0.01236,1.0,17.93
4,YCrCb,ALL,10,288,6,16,0.00286,0.995,0.02
1,YCrCb,ALL,10,576,12,16,0.00348,0.995,0.02
4,YUV,ALL,10,576,12,16,0.00357,0.995,0.02
4,YCrCb,ALL,10,576,12,16,0.00361,0.995,0.02
4,YUV,1,10,240,15,16,0.00362,0.995,0.02
1,LUV,ALL,10,720,15,16,0.00327,0.995,0.03
4,LUV,ALL,10,576,12,16,0.00363,0.995,0.03
1,HSV,ALL,10,576,12,16,0.00391,0.995,0.03
4,YCrCb,ALL,10,720,15,16,0.00328,0.995,0.04
2,YCrCb,1,10,768,12,12,0.00337,0.995,0.04
1,HLS,ALL,10,720,15,16,0.00378,0.995,0.04
1,HLS,ALL,10,900,12,12,0.00386,0.995,0.04
1,HSV,ALL,10,900,12,12,0.00438,0.995,0.04
4,HSV,ALL,10,720,15,16,0.00464,0.995,0.04
2,YCrCb,ALL,10,1152,6,12,0.00308,0.995,0.05
1,HSV,ALL,10,1125,15,12,0.00346,0.995,0.05
1,HLS,ALL,10,1152,6,8,0.00306,0.995,0.06
1,YCrCb,ALL,10,1728,9,8,0.00344,0.995,0.07
2,HLS,ALL,10,1296,12,16,0.00346,0.995,0.07
2,YCrCb,ALL,10,1296,12,16,0.00364,0.995,0.07
1,YUV,ALL,10,1728,9,8,0.00378,0.995,0.07
2,LUV,ALL,10,1152,6,12,0.0038,0.995,0.07
2,YUV,ALL,10,1728,9,12,0.0031,0.995,0.08
2,YCrCb,ALL,10,1620,15,16,0.00345,0.995,0.08
2,LUV,ALL,10,1620,15,16,0.00484,0.995,0.08
3,YCrCb,ALL,10,1620,15,16,0.00352,0.995,0.09
2,LUV,ALL,10,2304,12,12,0.00412,0.995,0.1
1,HLS,ALL,10,2304,12,8,0.00319,0.995,0.11
2,YUV,ALL,10,2304,12,12,0.00352,0.995,0.11
3,YUV,ALL,10,2187,9,12,0.00456,0.995,0.11
4,YUV,ALL,10,2880,15,12,0.00375,0.995,0.12
3,LUV,ALL,10,2916,12,12,0.00347,0.995,0.13
3,YUV,ALL,10,2916,12,12,0.00349,0.995,0.13
2,HSV,ALL,10,2304,12,12,0.00364,0.995,0.13
1,YCrCb,ALL,10,2880,15,8,0.00399,0.995,0.13
2,HLS,ALL,10,7056,12,8,0.00451,0.995,0.36
1,YUV,ALL,10,9216,12,4,0.00372,0.995,0.45
1,YUV,ALL,10,11520,15,4,0.00411,0.995,0.57
2,LUV,2,10,10800,12,4,0.00389,0.995,0.58
2,YCrCb,ALL,10,8820,15,8,0.00354,0.995,0.59
4,YUV,ALL,10,10800,9,8,0.00451,0.995,0.59
1,HSV,ALL,10,11520,15,4,0.00371,0.995,0.62
3,YUV,ALL,10,11664,12,8,0.00368,0.995,0.63
3,HLS,ALL,10,8748,9,8,0.00362,0.995,0.64
1,HLS,ALL,10,11520,15,4,0.00453,0.995,0.65
3,YCrCb,ALL,10,11664,12,8,0.01361,0.995,0.82
4,LUV,ALL,10,14400,12,8,0.00435,0.995,0.89
3,HLS,ALL,10,14580,15,8,0.00446,0.995,0.92
4,HSV,ALL,10,14400,12,8,0.00381,0.995,1.06
2,YCrCb,ALL,10,16200,6,4,0.00385,0.995,1.19
3,HLS,0,10,21168,12,4,0.00766,0.995,1.52
3,YUV,ALL,10,31752,6,4,0.00449,0.995,1.58
3,HSV,ALL,10,31752,6,4,0.00397,0.995,1.69
3,YCrCb,ALL,10,31752,6,4,0.00427,0.995,1.92
2,HLS,ALL,10,40500,15,4,0.00502,0.995,2.16
2,HLS,ALL,10,32400,12,4,0.0052,0.995,2.63
4,YCrCb,ALL,10,48672,6,4,0.00559,0.995,3.05
3,YUV,ALL,10,63504,12,4,0.00614,0.995,3.36
4,HLS,ALL,10,73008,9,4,0.00599,0.995,4.34
3,LUV,ALL,10,79380,15,4,0.00711,0.995,4.53
4,YUV,ALL,10,73008,9,4,0.01095,0.995,6.69
4,LUV,ALL,10,97344,12,4,0.00845,0.995,9.67
4,YCrCb,ALL,10,97344,12,4,0.00892,0.995,12.4
1,YCrCb,ALL,10,432,9,16,0.00284,0.99,0.02
1,LUV,ALL,10,432,9,16,0.00305,0.99,0.02
4,LUV,ALL,10,432,9,16,0.00328,0.99,0.02
4,YUV,ALL,10,288,6,16,0.00376,0.99,0.02
4,HSV,ALL,10,576,12,16,0.00342,0.99,0.03
1,YUV,ALL,10,576,12,16,0.00348,0.99,0.03
4,YUV,ALL,10,720,15,16,0.00386,0.99,0.03
1,HSV,ALL,10,432,9,16,0.00495,0.99,0.03
2,YCrCb,ALL,10,648,6,16,0.00299,0.99,0.04
2,HSV,ALL,10,648,6,16,0.00316,0.99,0.04
1,LUV,ALL,10,900,12,12,0.00331,0.99,0.04
1,HSV,ALL,10,720,15,16,0.00342,0.99,0.04
1,YCrCb,ALL,10,1125,15,12,0.00312,0.99,0.05
2,YUV,ALL,10,1152,6,12,0.00316,0.99,0.05
2,YCrCb,ALL,10,972,9,16,0.00321,0.99,0.05
3,YUV,ALL,10,1296,12,16,0.00322,0.99,0.05
1,YUV,ALL,10,1125,15,12,0.00327,0.99,0.05
1,LUV,ALL,10,1125,15,12,0.00387,0.99,0.05
3,LUV,ALL,10,1296,12,16,0.00312,0.99,0.06
3,LUV,ALL,10,972,9,16,0.00437,0.99,0.06
2,HSV,ALL,10,1296,12,16,0.00321,0.99,0.07
2,HSV,ALL,10,1152,6,12,0.00335,0.99,0.07
4,LUV,ALL,10,1152,6,12,0.00363,0.99,0.07
4,LUV,ALL,10,2304,12,12,0.00358,0.99,0.09
2,YUV,1,10,2352,12,8,0.00341,0.99,0.11
1,HSV,ALL,10,2304,12,8,0.00427,0.99,0.11
3,LUV,ALL,10,2187,9,12,0.00393,0.99,0.13
2,YUV,ALL,10,2880,15,12,0.00359,0.99,0.14
3,YUV,ALL,10,3645,15,12,0.00375,0.99,0.15
2,RGB,1,10,2940,15,8,0.00317,0.99,0.2
3,HLS,ALL,10,2916,12,12,0.00437,0.99,0.22
1,LUV,2,10,3840,15,4,0.00346,0.99,0.23
3,YCrCb,0,10,2916,9,8,0.0044,0.99,0.23
2,YUV,ALL,10,5292,9,8,0.00298,0.99,0.24
2,LUV,ALL,10,5292,9,8,0.00332,0.99,0.24
2,HSV,ALL,10,5292,9,8,0.00374,0.99,0.27
1,YCrCb,ALL,10,6912,9,4,0.00394,0.99,0.31
1,HSV,ALL,10,6912,9,4,0.00417,0.99,0.34
3,YCrCb,0,10,3888,12,8,0.00471,0.99,0.34
2,HLS,ALL,10,5292,9,8,0.00362,0.99,0.43
2,HSV,ALL,10,8820,15,8,0.00508,0.99,0.52
3,LUV,ALL,10,11664,12,8,0.0036,0.99,0.64
3,HLS,ALL,10,11664,12,8,0.00363,0.99,0.7
3,YUV,ALL,10,14580,15,8,0.00363,0.99,0.73
4,HLS,ALL,10,10800,9,8,0.00409,0.99,0.77
2,LUV,2,10,13500,15,4,0.00458,0.99,0.8
2,YUV,ALL,10,16200,6,4,0.0042,0.99,0.85
2,HSV,ALL,10,16200,6,4,0.00364,0.99,0.87
