cell_per_block,colorspace,extract_secs,hog_channel,n_predict,nfeatures,orient,pix_per_cell,predict_secs,test_accy,train_secs
2,YUV,0.05,ALL,10,7056,12,8,0.00296,0.9909,3.73
2,YCrCb,0.09,ALL,10,32400,12,4,0.00268,0.99,15.64
3,YCrCb,0.05,ALL,10,14580,15,8,0.00276,0.9875,7.58
2,YUV,0.04,ALL,10,1296,12,16,0.00242,0.9855,2.16
2,YUV,0.04,ALL,10,3528,6,8,0.00265,0.9846,9.65
2,YCrCb,0.04,ALL,10,1620,15,16,0.00254,0.9835,2.68
3,YUV,0.08,ALL,10,31752,6,4,0.00299,0.9832,18.67
3,YCrCb,0.03,ALL,10,1458,6,12,0.0026,0.9809,2.9
2,YUV,0.03,ALL,10,972,9,16,0.0024,0.9801,1.52
2,LUV,0.04,ALL,10,1152,6,12,0.00255,0.9733,2.36
